import gc; gc.collect()
>>> import heat_step_test as hst
>>> hst.main(hst.IDENTIFY_60_TO_240, confirm=hst.CONFIRM)
# heat step test, 41 steps, 7500 s planned
# t,state,temp_c,target_c,duty,relay,cold_c,cpu_c
# step climb to 60C: duty 1.000, ceiling 36 C, 600 s
890.23,steptest,49.9375,,0.043,0,27.63,33.22
890.48,steptest,49.9375,,0.043,0,27.63,32.57
890.73,steptest,49.9375,,0.043,0,27.63,32.37
890.98,steptest,49.9375,,0.043,0,27.63,33.22
891.23,steptest,49.9375,,0.043,0,27.69,32.79
891.48,steptest,49.9375,,0.043,0,27.69,33.22
891.73,steptest,50.0000,,0.043,0,27.69,33.22
891.98,steptest,50.0000,,0.043,0,27.69,33.22
892.23,steptest,49.9375,,0.043,0,27.63,33.22
892.48,steptest,49.9375,,0.043,0,27.63,33.00
892.73,steptest,49.9375,,0.043,0,27.63,32.79
892.98,steptest,50.0000,,0.043,0,27.69,33.43
893.23,steptest,50.0000,,0.043,0,27.69,33.22
893.48,steptest,50.0000,,0.043,0,27.69,33.00
893.73,steptest,50.0000,,0.043,0,27.69,32.79
893.98,steptest,50.0625,,0.043,0,27.69,33.00
894.23,steptest,50.0625,,0.043,0,27.69,33.65
894.48,steptest,50.0625,,0.043,0,27.69,33.22
894.73,steptest,50.0625,,0.043,0,27.63,32.57
894.98,steptest,50.0000,,0.043,0,27.63,32.37
895.23,steptest,50.0625,,0.043,0,27.69,33.22
895.48,steptest,50.0000,,0.043,0,27.63,33.86
895.73,steptest,50.0625,,0.043,0,27.69,33.01
895.98,steptest,50.0625,,0.043,0,27.69,32.79
896.23,steptest,50.0625,,0.043,0,27.69,33.22
896.48,steptest,50.0625,,0.043,0,27.69,33.01
896.73,steptest,50.0625,,0.043,0,27.69,32.79
896.98,steptest,50.0625,,0.043,0,27.69,32.79
897.23,steptest,50.0625,,0.043,0,27.63,32.79
897.48,steptest,50.0625,,0.043,0,27.63,33.00
897.73,steptest,50.1250,,0.043,0,27.69,32.79
897.98,steptest,50.1250,,0.043,0,27.69,33.65
898.23,steptest,50.1250,,0.043,0,27.69,33.01
898.48,steptest,50.0625,,0.043,0,27.63,32.58
898.73,steptest,50.0625,,0.043,0,27.63,33.00
898.98,steptest,50.0625,,0.043,0,27.63,33.22
899.23,steptest,50.0625,,0.043,0,27.63,33.22
899.48,steptest,50.1250,,0.043,0,27.69,33.01
899.73,steptest,50.1250,,0.043,0,27.69,33.01
899.98,steptest,50.1250,,0.043,0,27.69,33.00
900.23,steptest,50.1250,,0.043,0,27.63,33.01
900.48,steptest,50.0625,,0.043,0,27.63,32.79
900.73,steptest,50.0625,,0.043,0,27.63,32.58
900.98,steptest,50.0625,,0.043,0,27.63,33.22
901.23,steptest,50.0625,,0.043,0,27.63,33.01
901.48,steptest,50.0625,,0.043,0,27.63,33.00
901.73,steptest,50.0625,,0.043,0,27.63,33.43
901.98,steptest,50.1250,,0.043,0,27.69,33.44
902.23,steptest,50.0625,,0.043,0,27.63,32.79
902.48,steptest,50.0625,,0.043,0,27.63,32.79
902.73,steptest,50.0625,,0.043,0,27.63,33.22
902.98,steptest,50.1875,,0.043,0,27.69,33.01
903.23,steptest,50.1250,,0.043,0,27.63,33.01
903.48,steptest,50.1250,,0.043,0,27.63,33.44
903.73,steptest,50.1250,,0.043,0,27.63,33.22
903.98,steptest,50.1250,,0.043,0,27.63,33.43
904.23,steptest,50.1250,,0.043,0,27.63,33.00
904.48,steptest,50.1875,,0.043,0,27.69,32.79
904.73,steptest,50.1875,,0.043,0,27.69,32.58
904.98,steptest,50.1875,,0.043,0,27.69,32.79
905.23,steptest,50.1250,,0.043,0,27.63,33.22
905.48,steptest,50.1250,,0.043,0,27.63,33.00
905.73,steptest,50.1250,,0.043,0,27.63,32.58
905.98,steptest,50.1250,,0.043,0,27.63,33.22
906.23,steptest,50.1250,,0.043,0,27.63,33.43
906.48,steptest,50.1250,,0.043,0,27.63,33.00
906.73,steptest,50.1875,,0.043,0,27.69,32.79
906.98,steptest,50.1875,,0.043,0,27.69,33.22
907.23,steptest,50.1875,,0.043,0,27.69,33.22
907.48,steptest,50.0625,,0.043,0,27.63,33.01
907.73,steptest,50.1250,,0.043,0,27.63,32.58
907.98,steptest,50.1250,,0.043,0,27.63,33.01
908.23,steptest,50.0625,,0.043,0,27.63,33.43
908.48,steptest,50.1250,,0.043,0,27.63,33.22
908.73,steptest,50.0625,,0.043,0,27.63,32.80
908.98,steptest,50.0625,,0.043,0,27.63,33.22
909.23,steptest,50.1250,,0.043,0,27.63,32.79
909.48,steptest,50.1875,,0.043,0,27.69,33.22
909.73,steptest,50.1250,,0.043,0,27.63,33.22
909.98,steptest,50.0625,,0.043,0,27.63,32.79
910.23,steptest,50.0625,,0.043,0,27.63,33.22
910.48,steptest,50.0625,,0.043,0,27.63,33.22
910.73,steptest,50.0625,,0.043,0,27.63,33.22
910.98,steptest,50.0625,,0.043,0,27.63,33.01
911.23,steptest,50.0625,,0.043,0,27.63,33.00
911.48,steptest,50.0625,,0.043,0,27.63,33.22
911.73,steptest,50.1250,,0.043,0,27.69,33.01
911.98,steptest,50.0625,,0.043,0,27.63,33.43
912.23,steptest,50.0625,,0.043,0,27.63,33.65
912.48,steptest,50.0625,,0.043,0,27.63,33.01
912.73,steptest,50.0625,,0.043,0,27.63,32.80
912.98,steptest,50.0625,,0.043,0,27.63,33.22
913.23,steptest,50.0625,,0.043,0,27.63,33.00
913.48,steptest,50.0625,,0.043,0,27.63,33.22
913.73,steptest,50.0625,,0.043,0,27.63,33.22
913.98,steptest,50.1250,,0.043,0,27.69,33.22
914.23,steptest,50.1250,,0.043,0,27.69,33.43
914.48,steptest,50.1250,,0.043,0,27.69,32.79
914.73,steptest,50.1250,,0.043,0,27.69,33.22
914.98,steptest,50.0625,,0.043,0,27.63,33.01
915.23,steptest,50.0000,,0.043,0,27.63,33.43
915.48,steptest,50.0000,,0.043,0,27.63,33.44
915.73,steptest,50.0000,,0.043,0,27.63,33.00
915.98,steptest,50.1250,,0.043,0,27.69,32.79
916.23,steptest,50.0000,,0.043,0,27.63,33.43
916.48,steptest,50.0000,,0.043,0,27.63,33.01
916.73,steptest,50.0000,,0.043,0,27.63,33.01
916.98,steptest,50.0000,,0.043,0,27.63,32.57
917.23,steptest,50.0625,,0.043,0,27.69,33.00
917.48,steptest,50.0625,,0.043,0,27.69,32.57
917.73,steptest,50.0625,,0.043,0,27.63,33.01
